generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.36317,-939.536,1.42857,0
1000,0,2.40752,-571.99,0.0487581,0.355
2000,0,1.66743,-568.646,0.750079,0.265367
3000,1,1.36103,-558.659,0.518359,0.255
4000,1,4.90986,-563.571,2.41689,0.291177
5000,1,-2.56677,-557.797,1.07076,0.33
6000,4,8.03961,-550.189,3.5209,0.293951
7000,2,2.76002,-552.581,1.10376,0.394
8000,2,3.29889,-559.055,3.422,0.303429
9000,3,10.5531,-547.286,0.994184,0.3375
10000,3,13.3856,-552.701,4.22529,0.442
11000,3,6.74221,-556.849,5.01798,0.453
12000,3,9.71415,-547.105,1.70124,0.403
13000,2,10.1125,-553.706,1.09026,0.403375
14000,2,10.0605,-558.192,2.71832,0.448
15000,3,10.7517,-550.741,3.16774,0.493
16000,4,14.0175,-554.614,2.14683,0.471
17000,4,16.8276,-549.375,4.81734,0.493
18000,3,14.8415,-549.901,2.57242,0.492
19000,4,18.1256,-550.931,1.99739,0.458
20000,3,11.3019,-552.856,2.48677,0.4765
21000,2,6.28693,-555.024,0.999771,0.437
22000,2,5.9139,-553.054,3.38079,0.454
23000,3,11.0336,-550.4,2.12343,0.455
24000,4,16.7571,-548.173,0.842191,0.442
25000,4,18.3287,-549.078,1.20962,0.444
26000,3,13.4934,-545.489,0.788329,0.471
27000,4,18.1282,-554.809,2.10096,0.437429
28000,2,9.35371,-550.649,1.04557,0.450889
29000,3,14.8772,-547.998,2.95465,0.456
30000,5,17.5817,-550.172,3.30245,0.443
31000,3,10.2758,-551.522,5.02841,0.443
32000,4,17.6089,-549.18,4.14409,0.447
33000,4,15.5934,-550.341,2.77451,0.444167
34000,3,15.4437,-548.186,1.62432,0.506
35000,4,15.6463,-549.781,0.828835,0.479
36000,4,13.4179,-550.311,3.21798,0.444
37000,3,13.5454,-550.192,2.54941,0.431
38000,1,4.52594,-553.205,1.22279,0.4414
39000,5,17.5622,-546.821,4.73989,0.44
40000,3,11.8537,-550.783,2.11286,0.449
41000,2,8.23079,-557.813,3.8771,0.4585
42000,2,7.64984,-556.655,0.634783,0.474
43000,1,5.08462,-560.503,1.10706,0.455
44000,3,13.3701,-555.764,3.71605,0.444
45000,2,8.00646,-549.274,1.26589,0.466
46000,2,8.87877,-550.127,1.69633,0.472
47000,3,13.5459,-548.287,2.10494,0.461
48000,2,6.44419,-546.856,0.359172,0.401
49000,3,11.857,-557.631,0.894677,0.470889
50000,3,9.94301,-547,2.95867,0.478167
51000,5,16.8382,-544.632,2.34188,0.45988
52000,2,9.16372,-547.623,1.06506,0.44275
53000,3,9.42817,-546.688,1.10505,0.471
54000,5,17.83,-545.288,3.53163,0.435
55000,2,8.92155,-555.134,0.319679,0.4608
56000,1,4.44983,-555.119,0.438886,0.418
57000,2,4.33949,-548.035,3.36482,0.403625
58000,4,17.0904,-543.203,1.88681,0.454167
59000,4,16.13,-544.143,1.38922,0.465
60000,5,13.6242,-545.926,3.53451,0.422
61000,3,13.7476,-548.056,0.812859,0.4514
62000,3,13.6575,-545.967,2.38594,0.506
63000,5,14.7384,-545.212,2.19392,0.455
64000,4,15.8694,-541.871,2.26024,0.457
65000,6,20.4915,-531.86,3.31528,0.4465
66000,3,12.6208,-543.924,3.03734,0.489
67000,3,12.4396,-543.071,2.55231,0.446
68000,2,10.0275,-547.521,2.41697,0.453857
69000,4,11.8815,-548.494,2.43207,0.438
70000,2,8.40556,-548.093,2.46551,0.439
71000,3,8.86924,-546.23,3.48761,0.437
72000,5,20.0046,-545.961,5.3994,0.417667
73000,3,9.86136,-546.509,1.84639,0.406
74000,2,2.07352,-552.73,2.07362,0.453571
75000,3,10.948,-552.771,4.31435,0.441
76000,3,9.46923,-547.083,5.00476,0.464455
77000,4,11.4355,-544.764,5.34465,0.464
78000,3,13.7307,-546.501,2.43292,0.451143
79000,3,15.3095,-546.291,2.32296,0.45
80000,3,12.7403,-546.966,3.59309,0.456
81000,2,7.73945,-549.708,2.30847,0.4555
82000,2,5.42104,-556.424,2.95499,0.462
83000,8,31.0448,-545.807,4.67583,0.462667
84000,8,23.0537,-544.442,5.64449,0.462
85000,4,15.3584,-546.444,1.40002,0.415833
86000,3,10.5194,-546.411,1.61459,0.457
87000,8,21.4785,-533.681,6.55254,0.471
88000,5,17.3146,-536.892,3.90976,0.4795
89000,5,18.0673,-535.546,3.56757,0.418
90000,5,17.5237,-537.499,4.08665,0.415
91000,6,25.452,-539.932,2.66753,0.439
92000,4,14.8288,-544.876,1.79218,0.4422
93000,4,17.6361,-543.281,3.832,0.484
94000,4,13.5049,-543.714,1.76263,0.465
95000,4,13.3347,-542.57,2.65281,0.47675
96000,4,15.3345,-544.378,2.21713,0.45
97000,2,2.51637,-548.44,1.61309,0.423
98000,4,16.7895,-543.72,1.41899,0.481
99000,4,9.24167,-547.252,3.90213,0.455
100000,4,16.3247,-538.334,2.49811,0.445
101000,5,19.4475,-540.129,5.31514,0.448
102000,3,8.25835,-548.817,0.946684,0.451733
103000,3,8.62185,-548.88,4.92953,0.444
104000,3,9.86438,-546.821,3.06437,0.453
105000,5,18.6073,-538.578,2.04458,0.4525
106000,4,15.5891,-553.342,2.86482,0.428833
107000,4,10.4132,-539.03,2.30049,0.459
108000,4,8.73964,-541.614,8.60482,0.399788
109000,3,1.58793,-540.7,2.65076,0.437
110000,2,6.36176,-552.315,1.96096,0.452
111000,3,13.5578,-541.938,2.45186,0.4382
112000,3,8.62622,-542.398,3.81252,0.419
113000,6,23.6719,-538.643,3.97231,0.435
114000,4,17.8839,-540.934,2.96384,0.4303
115000,5,14.7773,-541.646,3.88641,0.4265
116000,4,14.3155,-538.671,2.339,0.4555
117000,4,12.1792,-546.999,4.76311,0.446429
118000,5,14.8206,-536.339,5.64352,0.4436
119000,3,2.88193,-545.026,1.37793,0.428
120000,2,6.75245,-549.955,1.91684,0.437
121000,3,13.5939,-544.152,1.25645,0.49
122000,4,18.2686,-537.507,4.09115,0.41075
123000,5,19.3704,-540.161,4.82828,0.422
124000,4,16.5577,-538.636,3.8762,0.403
125000,4,17.1461,-535.859,1.66632,0.476
126000,5,21.4818,-540.037,2.30722,0.4134
127000,4,13.4307,-539.381,4.12071,0.435
128000,3,9.94142,-546.017,6.12885,0.46
129000,5,15.4478,-540.367,3.06266,0.42425
130000,5,17.5396,-537.201,2.98626,0.428
131000,1,5.16947,-552.571,0.187356,0.4356
132000,5,15.397,-539.415,4.73412,0.443824
133000,6,16.8078,-543.263,7.51936,0.47
134000,6,22.3274,-542.478,4.19453,0.486
135000,8,19.83,-543.542,3.42608,0.468
136000,9,35.7026,-541.419,6.06639,0.4555
137000,8,34.348,-533.19,2.03929,0.467
138000,7,23.8896,-537.307,4.06004,0.491
139000,5,17.2429,-537.144,2.17817,0.482
140000,4,14.3531,-539.411,2.83492,0.435
141000,3,11.3221,-540.193,1.12271,0.465
142000,3,11.3483,-540.768,2.45612,0.423
143000,4,11.8095,-542.651,2.06309,0.427
144000,3,8.92176,-543.172,2.38093,0.462
145000,4,11.4854,-543.503,2.08183,0.47
146000,4,11.5186,-546.668,4.18371,0.441
147000,4,15.1481,-542.875,3.03949,0.438
148000,4,16.1798,-544.026,3.08053,0.469
149000,3,7.79754,-549.757,0.894209,0.4465
150000,2,2.55568,-543.307,3.00051,0.426
151000,2,4.79963,-545.913,1.04284,0.358
152000,6,19.6503,-546.595,3.70523,0.4561
153000,6,22.4483,-536.583,3.58895,0.4406
154000,5,16.1533,-539.382,2.25631,0.464
155000,3,11.9628,-544.604,4.20504,0.42
156000,3,11.5077,-543.468,3.05701,0.41
157000,3,10.2751,-547.663,3.48003,0.451
158000,3,7.03818,-547.167,1.53333,0.428
159000,3,11.5726,-543.672,1.73713,0.408857
160000,2,3.37655,-549.272,1.73352,0.439312
161000,2,4.50019,-545.31,2.33314,0.411
162000,4,16.605,-543.266,1.82174,0.416333
163000,3,12.5384,-545.529,2.31944,0.4406
164000,4,15.353,-546.274,1.39237,0.455
165000,3,14.6421,-542.898,1.71935,0.459
166000,5,16.4062,-544.895,4.18562,0.441
167000,6,17.6538,-536.146,10.2842,0.457
168000,8,30.5048,-531.15,7.75747,0.475
169000,8,30.8111,-533.474,7.15073,0.448
170000,5,20.4124,-534.882,3.71902,0.453556
171000,5,17.1618,-536.215,3.84982,0.437
172000,4,17.9175,-537.875,2.751,0.445
173000,5,13.4155,-536.997,5.62391,0.419
174000,5,15.891,-537.699,2.35637,0.4425
175000,5,18.8,-537.841,2.41923,0.423
176000,4,15.7939,-539.58,4.07118,0.482
177000,6,25.0111,-531.114,3.52136,0.43925
178000,6,17.0519,-533.02,2.37613,0.432444
179000,5,16.4387,-537.074,3.23139,0.419
180000,6,20.1839,-534.895,4.28183,0.4485
181000,6,25.1529,-536.575,2.01064,0.449
182000,5,15.9136,-543.348,4.3759,0.44
183000,3,10.6862,-544.999,1.98556,0.463
184000,6,17.6122,-541.592,5.35264,0.423
185000,4,15.9054,-542.566,1.40336,0.468
186000,3,13.5701,-542.786,1.77214,0.439
187000,1,4.63977,-551.967,0.963799,0.452
188000,3,9.50635,-552.119,2.82593,0.4
189000,2,6.28242,-551.527,1.82631,0.4565
190000,2,6.38245,-551.143,2.44059,0.435
191000,3,10.4584,-542.225,1.45384,0.418833
192000,3,12.0978,-542.936,2.48153,0.42825
193000,3,12.9244,-541.648,1.93998,0.447
194000,2,6.96833,-547.736,2.3234,0.395
195000,3,11.3947,-550.44,1.0726,0.446
196000,4,14.7317,-545.335,2.15811,0.458
197000,1,3.22281,-555.53,0.59362,0.377143
198000,2,8.99396,-551.558,0.786651,0.4725
199000,4,11.807,-553.553,3.97926,0.491
200000,4,14.9512,-544.514,1.92005,0.453
201000,2,2.06485,-548.206,4.60721,0.395094
202000,3,5.01049,-549.074,1.89088,0.481
203000,3,7.2718,-548.048,2.42126,0.417
204000,3,10.2919,-549.455,1.42861,0.428
205000,2,5.30864,-549.467,1.16387,0.429
206000,6,21.3486,-538.836,2.7854,0.462556
207000,4,14.0849,-547.58,2.67205,0.452188
208000,2,3.75322,-549.448,1.46561,0.451
209000,3,12.066,-549.9,1.51722,0.464
210000,2,5.35519,-546.565,1.76329,0.4536
211000,6,22.8749,-531.739,3.61496,0.446727
212000,6,19.3894,-540.807,4.87224,0.454
213000,6,20.2473,-532.938,4.87749,0.481
214000,9,32.0558,-536.324,6.97077,0.474
215000,4,14.9719,-543.046,4.41399,0.464667
216000,4,14.2554,-539.4,1.78454,0.48
217000,4,12.2553,-542.572,1.0781,0.441
218000,4,12.0369,-544.465,3.00245,0.472
219000,2,6.91365,-551.016,1.44501,0.470778
220000,0,0.0318579,-561.321,0.500031,0.453571
221000,0,-0.141037,-561.468,0.411495,0.147
222000,6,15.5929,-549.21,5.08858,0.454375
223000,6,24.5505,-547.954,4.42159,0.49
224000,2,4.85408,-549.56,3.34768,0.442333
225000,2,5.68785,-552.498,1.45926,0.45
226000,3,9.82963,-549.061,3.41331,0.443
227000,2,8.11132,-549.203,0.689103,0.463
228000,4,13.786,-537.184,0.996112,0.416857
229000,4,14.0476,-543.555,3.27556,0.486
230000,6,12.6225,-539.182,5.35594,0.457
231000,6,23.4407,-530.961,3.48657,0.397
232000,8,33.7325,-530.641,5.21008,0.415308
233000,11,38.4126,-533.895,6.68147,0.467
234000,12,40.3397,-530.34,11.0832,0.457
235000,9,28.4407,-535.685,4.91134,0.451
236000,4,12.3808,-540.625,2.25948,0.440154
237000,6,17.7377,-536.827,4.46963,0.459
238000,8,18.4413,-535.441,10.0034,0.439333
239000,6,14.5303,-538.692,3.57981,0.371
240000,4,13.212,-543.245,2.61204,0.438
241000,4,15.2158,-536.344,2.39247,0.386
242000,4,13.8712,-539.369,3.63204,0.465
243000,7,26.3587,-535.785,6.18094,0.464
244000,8,27.7586,-546.66,4.87911,0.452
245000,3,6.8509,-541.338,2.4219,0.399625
246000,4,12.2537,-534.827,3.81391,0.4466
247000,6,14.0419,-534.29,5.74643,0.486
248000,4,13.9973,-542.676,1.86639,0.44
249000,3,10.5702,-543.869,3.42776,0.462091
250000,7,31.2176,-527.526,4.12778,0.478833
251000,6,24.2573,-532.339,4.35395,0.482
252000,3,8.65716,-539.483,1.08174,0.42525
253000,5,15.6767,-535.323,2.21731,0.435
254000,3,6.47632,-538.463,2.64046,0.402
255000,5,15.6319,-546.544,3.87522,0.481
256000,3,5.05147,-546.989,2.13052,0.47
257000,4,12.1577,-545.099,2.0744,0.467
258000,6,20.7572,-542.621,3.63878,0.446222
259000,3,9.44499,-542.863,5.84954,0.457875
260000,6,21.6606,-544.869,4.31702,0.466
261000,4,15.7818,-541.347,2.93896,0.433
262000,5,20.6081,-549.123,1.4368,0.469
263000,4,15.1834,-540.328,3.02794,0.498
264000,2,5.86915,-547.962,1.12105,0.439529
265000,2,6.99616,-544.521,0.594798,0.471286
266000,2,4.42818,-549.394,2.10084,0.392
267000,3,10.2322,-543.656,2.73439,0.437
268000,3,10.2705,-545.738,3.51091,0.46
269000,2,5.00943,-550.794,1.97795,0.428
270000,2,8.16014,-551.101,0.746964,0.448
271000,3,4.09732,-549.048,1.51025,0.448786
272000,3,5.74677,-546.599,1.46462,0.438
273000,3,4.05913,-547.447,3.88181,0.451
274000,2,5.63172,-549.326,2.20767,0.4375
275000,3,9.91572,-549.393,2.5358,0.423
276000,3,10.0889,-545.35,1.83888,0.46925
277000,2,9.33723,-553.136,1.44148,0.442
278000,3,10.0531,-548.242,1.95147,0.353
